step,time,abs_l2,rel_l2,kv_l2,le_l2
1,0,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2,0.1,5.4315588446816930e-03,2.4588708053057240e-02,2.2511469377587459e-01,2.2089647137871318e-01
3,0.2,1.0715381453475685e-02,1.2607056858989446e-02,8.4721694195677644e-01,8.4995106893922645e-01
4,0.3,1.8231685448219681e-02,1.0254546330729144e-02,1.7723244857285005e+00,1.7779124361246441e+00
5,0.4,2.7426181110912145e-02,9.4031306838698505e-03,2.9064988523736175e+00,2.9167074278738965e+00
6,0.5,3.7785371446761848e-02,8.9557597299361295e-03,4.2046745310257698e+00,4.2191140211653853e+00
7,0.6,4.8441452240313911e-02,8.5758581045951680e-03,5.6318788450945236e+00,5.6485836926753388e+00
8,0.7,5.8654081022232345e-02,8.1585657290058240e-03,7.1688504611184918e+00,7.1892637714128877e+00
9,0.8,6.4341376376356632e-02,7.2856929582663264e-03,8.8112827572139487e+00,8.8311951580878922e+00
10,0.9,7.4820379891005803e-02,7.0727729763889685e-03,1.0557210591963825e+01,1.0578648592394893e+01
11,1,8.7910104964658800e-02,7.0851281934565177e-03,1.2386897810440283e+01,1.2407694337252547e+01
12,1.1,1.0522852773313891e-01,7.3731629976074974e-03,1.4248138588890354e+01,1.4271829846605087e+01
13,1.2,1.1870771906938118e-01,7.3745654810875288e-03,1.6065968229019855e+01,1.6096910302554576e+01
14,1.3,1.1964653705217168e-01,6.7178412591479136e-03,1.7767544550586610e+01,1.7810265595252776e+01
15,1.4,1.3394704707325855e-01,6.9233350878542613e-03,1.9286674980128939e+01,1.9347185333878237e+01
16,1.5,1.8144713452858111e-01,8.7910408268093918e-03,2.0566838588105071e+01,2.0640005899555728e+01
17,1.6,1.8009370261345842e-01,8.3179653738985442e-03,2.1570270705628189e+01,2.1651172434377465e+01
18,1.7,1.7381544814731054e-01,7.7762090320180003e-03,2.2264765917525480e+01,2.2352208824587599e+01
19,1.8,1.9354489949210993e-01,8.5214225093545315e-03,2.2621879120278422e+01,2.2712745352039853e+01
20,1.9,1.8712591112083679e-01,8.2400560248116744e-03,2.2622169638237153e+01,2.2709300829676522e+01
21,2,2.2772649152132016e-01,1.0194021274417070e-02,2.2260091487452680e+01,2.2339220744302633e+01
22,2.1,2.5464725067091898e-01,1.1774956213250611e-02,2.1554192718334694e+01,2.1626173894758008e+01
23,2.2,2.4569193926329133e-01,1.1923497723622613e-02,2.0543172834408630e+01,2.0605693476716233e+01
24,2.3,1.8666753776639405e-01,9.6589082091959773e-03,1.9272484265221419e+01,1.9325945927167325e+01
