rep,geo,op_type,ref,ptype,TTS [s],throughput [GB/s],nelements,ndofs,nnz
tet4,cylinder,Laplacian,0,scalar,0.0126483,0.00105121,7208,1662,0
tet10,cylinder,Laplacian,0,scalar,0.00438065,0.00303517,901,1662,0
macrotet4,cylinder,Laplacian,0,scalar,0.00505772,0.00262885,901,1662,0
tet4,cylinder,LinearElasticity,0,vector,0.00300449,0.0132761,7208,4986,0
tet10,cylinder,LinearElasticity,0,vector,3.93432e-05,1.01385,901,4986,0
macrotet4,cylinder,LinearElasticity,0,vector,0.0126524,0.00315261,901,4986,0
tet4,cylinder,Laplacian,1,scalar,0.000228114,0.399624,57664,11395,0
tet10,cylinder,Laplacian,1,scalar,0.000302776,0.301081,7208,11395,0
macrotet4,cylinder,Laplacian,1,scalar,0.000242043,0.376628,7208,11395,0
tet4,cylinder,LinearElasticity,1,vector,0.000332014,0.8237,57664,34185,0
tet10,cylinder,LinearElasticity,1,vector,3.86168e-05,7.08189,7208,34185,0
macrotet4,cylinder,LinearElasticity,1,vector,0.000245068,1.11594,7208,34185,0
tet4,cylinder,Laplacian,2,scalar,0.000299924,2.23814,461312,83909,0
tet10,cylinder,Laplacian,2,scalar,0.000263144,2.55097,57664,83909,0
macrotet4,cylinder,Laplacian,2,scalar,0.000209015,3.2116,57664,83909,0
tet4,cylinder,LinearElasticity,2,vector,0.000376355,5.35084,461312,251727,0
tet10,cylinder,LinearElasticity,2,vector,0.000107198,18.7859,57664,251727,0
macrotet4,cylinder,LinearElasticity,2,vector,0.000271449,7.41875,57664,251727,0
tet4,cylinder,Laplacian,3,scalar,0.000640414,8.03171,3690496,642953,0
tet10,cylinder,Laplacian,3,scalar,0.000353705,14.5421,461312,642953,0
macrotet4,cylinder,Laplacian,3,scalar,0.000353614,14.5459,461312,642953,0
tet4,cylinder,LinearElasticity,3,vector,0.00135953,11.3502,3690496,1928859,0
tet10,cylinder,LinearElasticity,3,vector,0.00056224,27.4454,461312,1928859,0
macrotet4,cylinder,LinearElasticity,3,vector,0.000669727,23.0406,461312,1928859,0
tet4,cylinder,Laplacian,4,scalar,0.00353899,11.3743,29523968,5031697,0
tet10,cylinder,Laplacian,4,scalar,0.00131594,30.5891,3690496,5031697,0
macrotet4,cylinder,Laplacian,4,scalar,0.00126082,31.9266,3690496,5031697,0
tet4,cylinder,LinearElasticity,4,vector,0.00917926,13.1558,29523968,15095091,0
tet10,cylinder,LinearElasticity,4,vector,0.00414,29.1692,3690496,15095091,0
macrotet4,cylinder,LinearElasticity,4,vector,0.00359263,33.6135,3690496,15095091,0
tet4,cylinder,Laplacian,5,scalar,0.0220021,14.4744,236191744,39808545,0
tet10,cylinder,Laplacian,5,scalar,0.00831393,38.3054,29523968,39808545,0
macrotet4,cylinder,Laplacian,5,scalar,0.0080488,39.5672,29523968,39808545,0
tet4,cylinder,LinearElasticity,5,vector,0.059219,16.1334,236191744,119425635,0
tet10,cylinder,LinearElasticity,5,vector,0.0282583,33.8097,29523968,119425635,0
macrotet4,cylinder,LinearElasticity,5,vector,0.0224038,42.6447,29523968,119425635,0
tet4,sphere,Laplacian,0,scalar,0.000201623,0.0476929,5120,1202,0
tet10,sphere,Laplacian,0,scalar,0.000228739,0.0420391,640,1202,0
macrotet4,sphere,Laplacian,0,scalar,0.000236899,0.0405911,640,1202,0
tet4,sphere,LinearElasticity,0,vector,0.000223747,0.128932,5120,3606,0
tet10,sphere,LinearElasticity,0,vector,3.98832e-05,0.723312,640,3606,0
macrotet4,sphere,LinearElasticity,0,vector,0.000301482,0.0956872,640,3606,0
tet4,sphere,Laplacian,1,scalar,0.000224664,0.290816,40960,8167,0
tet10,sphere,Laplacian,1,scalar,0.000309765,0.210921,5120,8167,0
macrotet4,sphere,Laplacian,1,scalar,0.000227437,0.287271,5120,8167,0
tet4,sphere,LinearElasticity,1,vector,0.000233024,0.841149,40960,24501,0
tet10,sphere,LinearElasticity,1,vector,3.86177e-05,5.0756,5120,24501,0
macrotet4,sphere,LinearElasticity,1,vector,0.000311062,0.630125,5120,24501,0
tet4,sphere,Laplacian,2,scalar,0.000262777,1.82265,327680,59869,0
tet10,sphere,Laplacian,2,scalar,0.000243622,1.96597,40960,59869,0
macrotet4,sphere,Laplacian,2,scalar,0.000252174,1.89929,40960,59869,0
tet4,sphere,LinearElasticity,2,vector,0.000367991,3.9046,327680,179607,0
tet10,sphere,LinearElasticity,2,vector,7.98345e-05,17.9979,40960,179607,0
macrotet4,sphere,LinearElasticity,2,vector,0.000258651,5.55519,40960,179607,0
tet4,sphere,Laplacian,3,scalar,0.000490716,7.46209,2621440,457721,0
tet10,sphere,Laplacian,3,scalar,0.000308335,11.876,327680,457721,0
macrotet4,sphere,Laplacian,3,scalar,0.000316215,11.58,327680,457721,0
tet4,sphere,LinearElasticity,3,vector,0.00108208,10.152,2621440,1373163,0
tet10,sphere,LinearElasticity,3,vector,0.000390246,28.1497,327680,1373163,0
macrotet4,sphere,LinearElasticity,3,vector,0.000550436,19.9574,327680,1373163,0
tet4,sphere,Laplacian,4,scalar,0.00266111,10.7567,20971520,3578097,0
tet10,sphere,Laplacian,4,scalar,0.000992649,28.8368,2621440,3578097,0
macrotet4,sphere,Laplacian,4,scalar,0.000928077,30.8431,2621440,3578097,0
tet4,sphere,LinearElasticity,4,vector,0.00661856,12.9748,20971520,10734291,0
tet10,sphere,LinearElasticity,4,vector,0.0024564,34.9595,2621440,10734291,0
macrotet4,sphere,LinearElasticity,4,vector,0.00259087,33.145,2621440,10734291,0
tet4,sphere,Laplacian,5,scalar,0.0160816,14.0745,167772160,28292577,0
tet10,sphere,Laplacian,5,scalar,0.00602525,37.5653,20971520,28292577,0
macrotet4,sphere,Laplacian,5,scalar,0.0058258,38.8514,20971520,28292577,0
tet4,sphere,LinearElasticity,5,vector,0.0426584,15.9177,167772160,84877731,0
tet10,sphere,LinearElasticity,5,vector,0.0202418,33.5456,20971520,84877731,0
macrotet4,sphere,LinearElasticity,5,vector,0.0188906,35.9449,20971520,84877731,0
