rep,geo,op_type,ref,ptype,TTS [s],throughput [GB/s],nelements,ndofs,nnz
tet4,cylinder,Laplacian,0,scalar,1.81888e-05,5.01188,57664,11395,0
tet10,cylinder,Laplacian,0,scalar,1.10272e-05,8.26683,7208,11395,0
macrotet4,cylinder,Laplacian,0,scalar,9.0912e-06,10.0273,7208,11395,0
tet4,cylinder,LinearElasticity,0,vector,3.69696e-05,7.39743,57664,34185,0
tet10,cylinder,LinearElasticity,0,vector,2.72224e-05,10.0461,7208,34185,0
macrotet4,cylinder,LinearElasticity,0,vector,2.27136e-05,12.0404,7208,34185,0
tet4,cylinder,Laplacian,1,scalar,0.000106384,6.3099,461312,83909,0
tet10,cylinder,Laplacian,1,scalar,3.90336e-05,17.1973,57664,83909,0
macrotet4,cylinder,Laplacian,1,scalar,3.69216e-05,18.181,57664,83909,0
tet4,cylinder,LinearElasticity,1,vector,0.000276419,7.28537,461312,251727,0
tet10,cylinder,LinearElasticity,1,vector,0.000128848,15.6294,57664,251727,0
macrotet4,cylinder,LinearElasticity,1,vector,0.000110349,18.2496,57664,251727,0
tet4,cylinder,Laplacian,2,scalar,0.00077601,6.6283,3690496,642953,0
tet10,cylinder,Laplacian,2,scalar,0.000259485,19.8224,461312,642953,0
macrotet4,cylinder,Laplacian,2,scalar,0.000251155,20.4799,461312,642953,0
tet4,cylinder,LinearElasticity,2,vector,0.00215944,7.14576,3690496,1928859,0
tet10,cylinder,LinearElasticity,2,vector,0.000830669,18.5764,461312,1928859,0
macrotet4,cylinder,LinearElasticity,2,vector,0.000757376,20.3741,461312,1928859,0
tet4,cylinder,Laplacian,3,scalar,0.00577415,6.97134,29523968,5031697,0
tet10,cylinder,Laplacian,3,scalar,0.00190948,21.0809,3690496,5031697,0
macrotet4,cylinder,Laplacian,3,scalar,0.0018454,21.8129,3690496,5031697,0
tet4,cylinder,LinearElasticity,3,vector,0.0164263,7.35167,29523968,15095091,0
tet10,cylinder,LinearElasticity,3,vector,0.00621468,19.4315,3690496,15095091,0
macrotet4,cylinder,LinearElasticity,3,vector,0.00561362,21.5121,3690496,15095091,0
tet4,cylinder,Laplacian,4,scalar,0.0453214,7.02689,236191744,39808545,0
tet10,cylinder,Laplacian,4,scalar,0.015264,20.864,29523968,39808545,0
macrotet4,cylinder,Laplacian,4,scalar,0.0147342,21.6143,29523968,39808545,0
tet4,cylinder,LinearElasticity,4,vector,0.132095,7.23272,236191744,119425635,0
tet10,cylinder,LinearElasticity,4,vector,0.0497441,19.2064,29523968,119425635,0
macrotet4,cylinder,LinearElasticity,4,vector,0.0449384,21.2603,29523968,119425635,0
tet4,sphere,Laplacian,0,scalar,6.9824e-06,1.37718,5120,1202,0
tet10,sphere,Laplacian,0,scalar,8.2432e-06,1.16654,640,1202,0
macrotet4,sphere,Laplacian,0,scalar,7.6576e-06,1.25575,640,1202,0
tet4,sphere,LinearElasticity,0,vector,9.1776e-06,3.14331,5120,3606,0
tet10,sphere,LinearElasticity,0,vector,2.03168e-05,1.41991,640,3606,0
macrotet4,sphere,LinearElasticity,0,vector,1.86944e-05,1.54314,640,3606,0
tet4,sphere,Laplacian,1,scalar,1.33216e-05,4.90452,40960,8167,0
tet10,sphere,Laplacian,1,scalar,9.9232e-06,6.58417,5120,8167,0
