name,calls,total,avg
ConjugateGradient::apply,1,50.1973,50.1973
DirichletConditions::apply,2,3.0625e-05,1.53125e-05
DirichletConditions::copy_constrained_dofs,1226,0.0477453,3.8944e-05
DirichletConditions::create_from_yaml,2,0.000310542,0.000155271
Function::apply,1226,48.0844,0.0392205
Function::apply_constraints,2,3.1292e-05,1.5646e-05
Function::copy_constrained_dofs,1226,0.048526,3.95808e-05
GeneratedLinearElasticity::apply,1226,48.0322,0.0391779
GeneratedLinearElasticity::create_from_yaml,1,0.0466399,0.0466399
GeneratedLinearElasticity::gradient,1,0.0389742,0.0389742
GeneratedLinearElasticity::initialize,2,0.251591,0.125795
GeneratedLinearElasticity::value,1,0.0372955,0.0372955
GeneratedLinearElasticity::value_steps,1,0.0372949,0.0372949
Mesh::initialize_node_to_node_graph,1,0.114166,0.114166
Mesh::read,1,0.00226421,0.00226421
Mesh::write,1,0.002791,0.002791
NeumannConditions::apply,1226,0.00072424,5.90734e-07
NeumannConditions::create_from_yaml,1,0.000529916,0.000529916
NeumannConditions::gradient,1,0.000184208,0.000184208
Output::write,3,0.0108415,0.00361385
Sideset::read,3,0.000366541,0.00012218
create_crs_graph_mem_conservative,1,0.114131,0.114131
create_n2e,1,0.00400242,0.00400242
solve_linear_elasticity,1,50.5505,50.5505
