name,calls,total,avg
CVFEMNavierStokes::apply,3,0.000699417,0.000233139
CVFEMNavierStokes::gradient,3,0.000968791,0.00032293
CVFEMNavierStokes::hessian_block_diag,3,0.000641249,0.00021375
CVFEMNavierStokes::hessian_bsr,3,0.000804001,0.000268
CVFEMNavierStokes::hessian_diag,3,0.000609458,0.000203153
CVFEMNavierStokes::initialize,3,0.00137371,0.000457903
Mesh::initialize_node_to_node_graph,3,0.000599291,0.000199764
create_crs_graph_mem_conservative,3,0.000567625,0.000189208
create_n2e,3,6.87584e-06,2.29195e-06
cvfem_hex8_ns_steady::apply_boundary_scs_jacobian_action,2,9.90841e-05,4.95421e-05
cvfem_hex8_ns_steady::apply_boundary_scs_residual,2,0.000108334,5.41669e-05
cvfem_hex8_ns_steady::apply_jacobian_action_isoparam,2,0.000125208,6.2604e-05
cvfem_hex8_ns_steady::apply_jacobian_action_packed,2,0.000276541,0.000138271
cvfem_hex8_ns_steady::apply_jacobian_action_sumfact,2,0.000105,5.25e-05
cvfem_hex8_ns_steady::apply_residual,6,0.00150804,0.000251341
cvfem_hex8_ns_steady::apply_residual_isoparam,2,0.00021625,0.000108125
cvfem_hex8_ns_steady::apply_residual_packed,2,0.000295709,0.000147854
cvfem_hex8_ns_steady::apply_residual_sumfact,2,0.000188208,9.4104e-05
cvfem_hex8_ns_steady::assemble_block_diag,6,0.00101746,0.000169576
cvfem_hex8_ns_steady::assemble_jacobian,6,0.00154304,0.000257174
cvfem_hex8_ns_steady::assemble_jacobian_colored_sumfact,2,0.000300666,0.000150333
cvfem_hex8_ns_steady::assemble_jacobian_isoparam,2,0.000324043,0.000162022
cvfem_hex8_ns_steady::assemble_jacobian_sumfact,2,0.000228458,0.000114229
cvfem_hex8_ns_steady::assemble_nodal_p_grad,24,0.00221033,9.20972e-05
cvfem_hex8_ns_steady::make_bsr4,3,6.3167e-05,2.10557e-05
cvfem_hex8_ns_steady::precompute_element_bsr_slots,6,0.000564876,9.4146e-05
