name,calls,total,avg
ConjugateGradient::apply,30,29.832,0.9944
DirichletConditions::copy_constrained_dofs,46792,4.56734,9.76093e-05
DirichletConditions::create_from_yaml,1,0.0191288,0.0191288
DirichletConditions::gradient,30,0.00209094,6.96979e-05
DirichletConditions::value,1,9.0493e-05,9.0493e-05
DirichletConditions::value_steps,30,0.0029625,9.87499e-05
Function::apply,46762,24.6235,0.00052657
Function::constraints_gradient,30,0.00209881,6.99603e-05
Function::copy_constrained_dofs,46792,4.57393,9.77502e-05
Function::gradient,30,0.0176732,0.000589105
Function::update,30,0.00312181,0.00010406
Function::value,1,0.0046809,0.0046809
Function::value_steps,30,0.0487937,0.00162646
Mesh::read,1,0.00367479,0.00367479
Mesh::write,1,0.0420162,0.0420162
NeoHookeanOgden::apply,46762,20.0408,0.00042857
NeoHookeanOgden::create,1,1.856e-06,1.856e-06
NeoHookeanOgden::gradient,30,0.0155584,0.000518615
NeoHookeanOgden::update,30,0.00310562,0.000103521
NeoHookeanOgden::value,1,0.00458554,0.00458554
NeoHookeanOgden::value_steps,30,0.0458126,0.00152709
Output::write,2,0.0446446,0.0223223
Sideset::read,2,0.0172865,0.00864324
solve_hyperelasticity,1,31.0079,31.0079
