name,calls,total,avg
ConjugateGradient::apply,1000,20.7169,0.0207169
DirichletConditions::create_from_yaml,1,0.00990522,0.00990522
DirichletConditions::derefine,1,9.3693e-05,9.3693e-05
Function::apply,83798,32.967,0.00039341
Function::apply_zero_constraints,2000,0.0115861,5.79304e-06
Function::constraints_gradient,100,0.000707502,7.07502e-06
Function::copy_constrained_dofs,83798,0.593687,7.08474e-06
Function::derefine,1,0.00119757,0.00119757
Function::gradient,100,0.262373,0.00262373
Function::hessian_diag,2,0.000638127,0.000319064
Function::set_value_to_constrained_dofs,2,1.0047e-05,5.0235e-06
GPUKelvinVoigtNewmark:initialize,1,0.00100989,0.00100989
GPUNeumannConditions::gradient,100,0.00856292,8.56292e-05
Mesh::read,1,0.00401633,0.00401633
Mesh::write,1,0.0387553,0.0387553
Multigrid::apply,100,37.6855,0.376855
NeumannConditions::create_from_env,1,0.00954194,0.00954194
Output::write_time_step,303,9.591,0.0316535
SemiStructuredMesh::export_as_standard,1,0.0654941,0.0654941
SemiStructuredMesh::init,1,0.0283861,0.0283861
ShiftableJacobi::apply,6000,0.0133905,2.23175e-06
Sideset::read,2,0.0191235,0.00956173
StationaryIteration::apply,2000,14.7172,0.00735861
create_ssgmg,1,0.00296187,0.00296187
create_ssgmg::construct,1,0.000679629,0.000679629
cu_affine_sshex8_kelvin_voigt_newmark_apply[2],7100,16.9903,0.002393
cu_affine_sshex8_kelvin_voigt_newmark_diag[2],2,0.000536113,0.000268056
cu_kelvin_voigt_newmark_apply,76798,15.5403,0.000202353
cu_sshex8_hierarchical_prolongation,1000,0.00308062,3.08062e-06
cu_sshex8_hierarchical_restriction,1000,0.00296219,2.96219e-06
sshex8_extract_nodeset_from_sideset,1,9.075e-05,9.075e-05
sshex8_fill_points,1,0.000463571,0.000463571
