cluster_size,tet_per_block,nelements,closk,Throughtput
1 , 4 , 24942592 , 1.562510e-01, 1.596315e+08 
1 , 4 , 24942592 , 1.546120e-01, 1.613238e+08 
1 , 4 , 24942592 , 1.545218e-01, 1.614179e+08 
1 , 4 , 24942592 , 1.545558e-01, 1.613824e+08 
1 , 4 , 24942592 , 1.545306e-01, 1.614088e+08 
1 , 4 , 24942592 , 1.546103e-01, 1.613256e+08 
1 , 4 , 24942592 , 1.539912e-01, 1.619741e+08 
1 , 4 , 24942592 , 1.542554e-01, 1.616967e+08 
1 , 4 , 24942592 , 1.543077e-01, 1.616419e+08 
1 , 4 , 24942592 , 1.542453e-01, 1.617073e+08 
1 , 6 , 24942592 , 1.650908e-01, 1.510841e+08 
1 , 6 , 24942592 , 1.632183e-01, 1.528173e+08 
1 , 6 , 24942592 , 1.634965e-01, 1.525573e+08 
1 , 6 , 24942592 , 1.633010e-01, 1.527400e+08 
1 , 6 , 24942592 , 1.634294e-01, 1.526199e+08 
1 , 6 , 24942592 , 1.635861e-01, 1.524738e+08 
1 , 6 , 24942592 , 1.634666e-01, 1.525852e+08 
1 , 6 , 24942592 , 1.633531e-01, 1.526913e+08 
1 , 6 , 24942592 , 1.636006e-01, 1.524602e+08 
1 , 6 , 24942592 , 1.633757e-01, 1.526701e+08 
1 , 8 , 24942592 , 1.786414e-01, 1.396238e+08 
1 , 8 , 24942592 , 1.767392e-01, 1.411266e+08 
1 , 8 , 24942592 , 1.766088e-01, 1.412308e+08 
1 , 8 , 24942592 , 1.767965e-01, 1.410808e+08 
1 , 8 , 24942592 , 1.766897e-01, 1.411661e+08 
1 , 8 , 24942592 , 1.764939e-01, 1.413227e+08 
1 , 8 , 24942592 , 1.766149e-01, 1.412259e+08 
1 , 8 , 24942592 , 1.765479e-01, 1.412794e+08 
1 , 8 , 24942592 , 1.767256e-01, 1.411374e+08 
1 , 8 , 24942592 , 1.764841e-01, 1.413305e+08 
1 , 12 , 24942592 , 2.144537e-01, 1.163076e+08 
1 , 12 , 24942592 , 2.127582e-01, 1.172345e+08 
1 , 12 , 24942592 , 2.126936e-01, 1.172701e+08 
1 , 12 , 24942592 , 2.126783e-01, 1.172785e+08 
1 , 12 , 24942592 , 2.127962e-01, 1.172135e+08 
1 , 12 , 24942592 , 2.127947e-01, 1.172144e+08 
1 , 12 , 24942592 , 2.126782e-01, 1.172786e+08 
1 , 12 , 24942592 , 2.129101e-01, 1.171508e+08 
1 , 12 , 24942592 , 2.124235e-01, 1.174192e+08 
1 , 12 , 24942592 , 2.126710e-01, 1.172825e+08 
1 , 16 , 24942592 , 2.017714e-01, 1.236181e+08 
1 , 16 , 24942592 , 2.005380e-01, 1.243784e+08 
1 , 16 , 24942592 , 1.948109e-01, 1.280349e+08 
1 , 16 , 24942592 , 1.930894e-01, 1.291764e+08 
1 , 16 , 24942592 , 1.993436e-01, 1.251236e+08 
1 , 16 , 24942592 , 2.071391e-01, 1.204147e+08 
1 , 16 , 24942592 , 1.987547e-01, 1.254944e+08 
1 , 16 , 24942592 , 1.989614e-01, 1.253640e+08 
1 , 16 , 24942592 , 1.969488e-01, 1.266451e+08 
1 , 16 , 24942592 , 1.962196e-01, 1.271157e+08 


4 , 4 , 24942592 , 1.597652e-01, 1.561203e+08 
4 , 4 , 24942592 , 1.598557e-01, 1.560319e+08 
4 , 4 , 24942592 , 1.569195e-01, 1.589515e+08 
4 , 4 , 24942592 , 1.505858e-01, 1.656371e+08 
4 , 4 , 24942592 , 1.555090e-01, 1.603932e+08 
4 , 4 , 24942592 , 1.571876e-01, 1.586804e+08 
4 , 4 , 24942592 , 1.524926e-01, 1.635660e+08 
4 , 4 , 24942592 , 1.557029e-01, 1.601935e+08 
4 , 4 , 24942592 , 1.543571e-01, 1.615902e+08 
4 , 4 , 24942592 , 1.555713e-01, 1.603290e+08 
4 , 6 , 24942592 , 1.609173e-01, 1.550026e+08 
4 , 6 , 24942592 , 1.598816e-01, 1.560067e+08 
4 , 6 , 24942592 , 1.597923e-01, 1.560938e+08 
4 , 6 , 24942592 , 1.592346e-01, 1.566405e+08 
4 , 6 , 24942592 , 1.598548e-01, 1.560328e+08 
4 , 6 , 24942592 , 1.594988e-01, 1.563811e+08 
4 , 6 , 24942592 , 1.594642e-01, 1.564150e+08 
4 , 6 , 24942592 , 1.595624e-01, 1.563188e+08 
4 , 6 , 24942592 , 1.595792e-01, 1.563022e+08 
4 , 6 , 24942592 , 1.595448e-01, 1.563359e+08 
4 , 8 , 24942592 , 1.728624e-01, 1.442916e+08 
4 , 8 , 24942592 , 1.713872e-01, 1.455336e+08 
4 , 8 , 24942592 , 1.712833e-01, 1.456219e+08 
4 , 8 , 24942592 , 1.710892e-01, 1.457870e+08 
4 , 8 , 24942592 , 1.721220e-01, 1.449123e+08 
4 , 8 , 24942592 , 1.709119e-01, 1.459383e+08 
4 , 8 , 24942592 , 1.714964e-01, 1.454409e+08 
4 , 8 , 24942592 , 1.708412e-01, 1.459987e+08 
4 , 8 , 24942592 , 1.710273e-01, 1.458398e+08 
4 , 8 , 24942592 , 1.713032e-01, 1.456050e+08 
4 , 12 , 24942592 , 2.086669e-01, 1.195331e+08 
4 , 12 , 24942592 , 2.071619e-01, 1.204015e+08 
4 , 12 , 24942592 , 2.070785e-01, 1.204500e+08 
4 , 12 , 24942592 , 2.072070e-01, 1.203752e+08 
4 , 12 , 24942592 , 2.073614e-01, 1.202856e+08 
4 , 12 , 24942592 , 2.072088e-01, 1.203742e+08 
4 , 12 , 24942592 , 2.070501e-01, 1.204664e+08 
4 , 12 , 24942592 , 2.070583e-01, 1.204617e+08 
4 , 12 , 24942592 , 2.071127e-01, 1.204301e+08 
4 , 12 , 24942592 , 2.070992e-01, 1.204379e+08 
4 , 16 , 24942592 , 1.911623e-01, 1.304786e+08 
4 , 16 , 24942592 , 1.898428e-01, 1.313855e+08 
4 , 16 , 24942592 , 1.898078e-01, 1.314098e+08 
4 , 16 , 24942592 , 1.898371e-01, 1.313894e+08 
4 , 16 , 24942592 , 1.896591e-01, 1.315127e+08 
4 , 16 , 24942592 , 1.896505e-01, 1.315187e+08 
4 , 16 , 24942592 , 1.898141e-01, 1.314053e+08 
4 , 16 , 24942592 , 1.897856e-01, 1.314251e+08 
4 , 16 , 24942592 , 1.897876e-01, 1.314237e+08 
4 , 16 , 24942592 , 1.897514e-01, 1.314488e+08 


8 , 4 , 24942592 , 1.566481e-01, 1.592269e+08 
8 , 4 , 24942592 , 1.553346e-01, 1.605734e+08 
8 , 4 , 24942592 , 1.556345e-01, 1.602639e+08 
8 , 4 , 24942592 , 1.550600e-01, 1.608577e+08 
8 , 4 , 24942592 , 1.541169e-01, 1.618420e+08 
8 , 4 , 24942592 , 1.544027e-01, 1.615424e+08 
8 , 4 , 24942592 , 1.548020e-01, 1.611258e+08 
8 , 4 , 24942592 , 1.549522e-01, 1.609696e+08 
8 , 4 , 24942592 , 1.542513e-01, 1.617011e+08 
8 , 4 , 24942592 , 1.545779e-01, 1.613594e+08 
8 , 6 , 24942592 , 1.635209e-01, 1.525346e+08 
8 , 6 , 24942592 , 1.627072e-01, 1.532974e+08 
8 , 6 , 24942592 , 1.628342e-01, 1.531779e+08 
8 , 6 , 24942592 , 1.618537e-01, 1.541058e+08 
8 , 6 , 24942592 , 1.622689e-01, 1.537115e+08 
8 , 6 , 24942592 , 1.624646e-01, 1.535263e+08 
8 , 6 , 24942592 , 1.626657e-01, 1.533366e+08 
8 , 6 , 24942592 , 1.638942e-01, 1.521871e+08 
8 , 6 , 24942592 , 1.611878e-01, 1.547424e+08 
8 , 6 , 24942592 , 1.626413e-01, 1.533595e+08 
8 , 8 , 24942592 , 1.758083e-01, 1.418738e+08 
8 , 8 , 24942592 , 1.737178e-01, 1.435811e+08 
8 , 8 , 24942592 , 1.739603e-01, 1.433809e+08 
8 , 8 , 24942592 , 1.737675e-01, 1.435400e+08 
8 , 8 , 24942592 , 1.744771e-01, 1.429563e+08 
8 , 8 , 24942592 , 1.737346e-01, 1.435672e+08 
8 , 8 , 24942592 , 1.738470e-01, 1.434744e+08 
8 , 8 , 24942592 , 1.746426e-01, 1.428208e+08 
8 , 8 , 24942592 , 1.742971e-01, 1.431039e+08 
8 , 8 , 24942592 , 1.741271e-01, 1.432436e+08 
8 , 12 , 24942592 , 2.115721e-01, 1.178917e+08 
8 , 12 , 24942592 , 2.098969e-01, 1.188326e+08 
8 , 12 , 24942592 , 2.101792e-01, 1.186730e+08 
8 , 12 , 24942592 , 2.100980e-01, 1.187189e+08 
