cluster_size,tet_per_block,nelements,clock,Throughput
1 , 4 , 24942592 , 1.967481e-01, 1.267742e+08 
1 , 4 , 24942592 , 1.952196e-01, 1.277669e+08 
1 , 4 , 24942592 , 1.950449e-01, 1.278813e+08 
1 , 4 , 24942592 , 1.948999e-01, 1.279764e+08 
1 , 4 , 24942592 , 1.947790e-01, 1.280559e+08 
1 , 4 , 24942592 , 1.948977e-01, 1.279779e+08 
1 , 4 , 24942592 , 1.948084e-01, 1.280365e+08 
1 , 4 , 24942592 , 1.948499e-01, 1.280093e+08 
1 , 4 , 24942592 , 1.947373e-01, 1.280833e+08 
1 , 4 , 24942592 , 1.948475e-01, 1.280108e+08 
1 , 6 , 24942592 , 2.155064e-01, 1.157395e+08 
1 , 6 , 24942592 , 2.137800e-01, 1.166741e+08 
1 , 6 , 24942592 , 2.133323e-01, 1.169190e+08 
1 , 6 , 24942592 , 2.134424e-01, 1.168586e+08 
1 , 6 , 24942592 , 2.135601e-01, 1.167942e+08 
1 , 6 , 24942592 , 2.134208e-01, 1.168705e+08 
1 , 6 , 24942592 , 2.137483e-01, 1.166914e+08 
1 , 6 , 24942592 , 2.135330e-01, 1.168091e+08 
1 , 6 , 24942592 , 2.136391e-01, 1.167511e+08 
1 , 6 , 24942592 , 2.133426e-01, 1.169133e+08 
1 , 8 , 24942592 , 2.732514e-01, 9.128075e+07 
1 , 8 , 24942592 , 2.712140e-01, 9.196648e+07 
1 , 8 , 24942592 , 2.709626e-01, 9.205179e+07 
1 , 8 , 24942592 , 2.711001e-01, 9.200509e+07 
1 , 8 , 24942592 , 2.708984e-01, 9.207360e+07 
1 , 8 , 24942592 , 2.708574e-01, 9.208753e+07 
1 , 8 , 24942592 , 2.710365e-01, 9.202669e+07 
1 , 8 , 24942592 , 2.708996e-01, 9.207321e+07 
1 , 8 , 24942592 , 2.710049e-01, 9.203743e+07 
1 , 8 , 24942592 , 2.708565e-01, 9.208786e+07 
1 , 12 , 24942592 , 2.327698e-01, 1.071556e+08 
1 , 12 , 24942592 , 2.305729e-01, 1.081766e+08 
1 , 12 , 24942592 , 2.304089e-01, 1.082536e+08 
1 , 12 , 24942592 , 2.300680e-01, 1.084140e+08 
1 , 12 , 24942592 , 2.303573e-01, 1.082778e+08 
1 , 12 , 24942592 , 2.304463e-01, 1.082360e+08 
1 , 12 , 24942592 , 2.303225e-01, 1.082942e+08 
1 , 12 , 24942592 , 2.302886e-01, 1.083101e+08 
1 , 12 , 24942592 , 2.304910e-01, 1.082151e+08 
1 , 12 , 24942592 , 2.304968e-01, 1.082123e+08 

4 , 4 , 24942592 , 1.864684e-01, 1.337631e+08 
4 , 4 , 24942592 , 1.851163e-01, 1.347401e+08 
4 , 4 , 24942592 , 1.847659e-01, 1.349957e+08 
4 , 4 , 24942592 , 1.850800e-01, 1.347665e+08 
4 , 4 , 24942592 , 1.851466e-01, 1.347181e+08 
4 , 4 , 24942592 , 1.849047e-01, 1.348943e+08 
4 , 4 , 24942592 , 1.849390e-01, 1.348693e+08 
4 , 4 , 24942592 , 1.846391e-01, 1.350884e+08 
4 , 4 , 24942592 , 1.851408e-01, 1.347223e+08 
4 , 4 , 24942592 , 1.850208e-01, 1.348097e+08 
4 , 6 , 24942592 , 2.037648e-01, 1.224087e+08 
4 , 6 , 24942592 , 2.022806e-01, 1.233069e+08 
4 , 6 , 24942592 , 2.022516e-01, 1.233246e+08 
4 , 6 , 24942592 , 2.023936e-01, 1.232380e+08 
4 , 6 , 24942592 , 2.022908e-01, 1.233006e+08 
4 , 6 , 24942592 , 2.021957e-01, 1.233587e+08 
4 , 6 , 24942592 , 2.021356e-01, 1.233954e+08 
4 , 6 , 24942592 , 2.022915e-01, 1.233003e+08 
4 , 6 , 24942592 , 2.024219e-01, 1.232208e+08 
4 , 6 , 24942592 , 2.022757e-01, 1.233099e+08 
4 , 8 , 24942592 , 2.610842e-01, 9.553467e+07 
4 , 8 , 24942592 , 2.595813e-01, 9.608780e+07 
4 , 8 , 24942592 , 2.594681e-01, 9.612969e+07 
4 , 8 , 24942592 , 2.595017e-01, 9.611727e+07 
4 , 8 , 24942592 , 2.594889e-01, 9.612199e+07 
4 , 8 , 24942592 , 2.595421e-01, 9.610228e+07 
4 , 8 , 24942592 , 2.595064e-01, 9.611551e+07 
4 , 8 , 24942592 , 2.594664e-01, 9.613032e+07 
4 , 8 , 24942592 , 2.595105e-01, 9.611400e+07 
4 , 8 , 24942592 , 2.594876e-01, 9.612248e+07 
4 , 12 , 24942592 , 2.229208e-01, 1.118899e+08 
4 , 12 , 24942592 , 2.216409e-01, 1.125360e+08 
4 , 12 , 24942592 , 2.213311e-01, 1.126936e+08 
4 , 12 , 24942592 , 2.215294e-01, 1.125927e+08 
4 , 12 , 24942592 , 2.213677e-01, 1.126749e+08 
4 , 12 , 24942592 , 2.216393e-01, 1.125369e+08 
