cluster_size,tet_number,time_sec,tets_per_sec
 1 , 3117824 , 1.864142, 1.672525e+06 
 2 , 3117824 , 1.668310, 1.868852e+06 
 3 , 3117824 , 1.625440, 1.918141e+06 
 4 , 3117824 , 1.547604, 2.014613e+06 
 6 , 3117824 , 1.574784, 1.979842e+06 
 8 , 3117824 , 1.580868, 1.972223e+06 
 12 , 3117824 , 1.584367, 1.967868e+06 
 16 , 3117824 , 1.614681, 1.930922e+06 
 24 , 3117824 , 1.700733, 1.833223e+06 
 32 , 3117824 , 1.799708, 1.732406e+06 
 56 , 3117824 , 2.521485, 1.236503e+06 
 64 , 3117824 , 2.953233, 1.055733e+06 
 96 , 3117824 , 4.035367, 7.726247e+05 
 128 , 3117824 , 3.978019, 7.837631e+05 
 256 , 3117824 , 7.519792, 4.146158e+05 
