cluster_size,tet_number,time_sec,tets_per_sec
 1 , 3117824 , 0.770684, 4.045527e+06 
 2 , 3117824 , 0.635463, 4.906379e+06 
 3 , 3117824 , 0.594752, 5.242225e+06 
 4 , 3117824 , 0.581524, 5.361473e+06 
 6 , 3117824 , 0.535187, 5.825667e+06 
 8 , 3117824 , 0.551066, 5.657807e+06 
 12 , 3117824 , 0.517536, 6.024358e+06 
 16 , 3117824 , 0.494006, 6.311311e+06 
 24 , 3117824 , 0.507654, 6.141629e+06 
 32 , 3117824 , 0.515591, 6.047092e+06 
 56 , 3117824 , 0.552944, 5.638586e+06 
 64 , 3117824 , 0.566026, 5.508270e+06 
 96 , 3117824 , 0.547557, 5.694059e+06 
 128 , 3117824 , 0.700246, 4.452471e+06 
 256 , 3117824 , 0.840650, 3.708826e+06 

