Min,Max,PDF,CDF,Count,Cumul_Count
1.322021484375000e-01,1.686871349811554e-01,2.497477851193253e-07,2.497477851193253e-07,13,13
1.686871349811554e-01,2.051721215248108e-01,7.221553823910654e-05,7.246528548421338e-05,3759,3772
2.051721215248108e-01,2.416571080684662e-01,4.143700061831623e-04,4.868352843914181e-04,21569,25341
2.416571080684662e-01,2.781420946121216e-01,8.757118484936655e-04,1.362547161988914e-03,45583,70924
2.781420946121216e-01,3.146270811557770e-01,1.541251316666603e-03,2.903798362240195e-03,80226,151150
3.146270811557770e-01,3.511120676994324e-01,2.692627022042871e-03,5.596425384283066e-03,140158,291308
3.511120676994324e-01,3.875970542430878e-01,4.589307587593794e-03,1.018573343753815e-02,238885,530193
3.875970542430878e-01,4.240820407867432e-01,5.075432360172272e-03,1.526116579771042e-02,264189,794382
4.240820407867432e-01,4.605670273303986e-01,7.572468370199203e-03,2.283363416790962e-02,394166,1188548
4.605670273303986e-01,4.970520138740540e-01,1.144300214946270e-02,3.427663445472717e-02,595637,1784185
4.970520138740540e-01,5.335370302200317e-01,1.202078349888325e-02,4.629741981625557e-02,625712,2409897
5.335370302200317e-01,5.700219869613647e-01,9.424194693565369e-03,5.572161450982094e-02,490553,2900450
5.700219869613647e-01,6.065069437026978e-01,8.894229307770729e-03,6.461584568023682e-02,462967,3363417
6.065069437026978e-01,6.429919004440308e-01,9.148703888058662e-03,7.376454770565033e-02,476213,3839630
6.429919600486755e-01,6.794769763946533e-01,8.758674375712872e-03,8.252321928739548e-02,455911,4295541
6.794769763946533e-01,7.159619331359863e-01,1.052373833954334e-02,9.304696321487427e-02,547787,4843328
7.159619331359863e-01,7.524468898773193e-01,1.354699302464724e-02,1.065939515829086e-01,705155,5548483
7.524468898773193e-01,7.889318466186523e-01,1.247023418545723e-02,1.190641894936562e-01,649107,6197590
7.889319062232971e-01,8.254169225692749e-01,1.471266150474548e-02,1.337768435478210e-01,765831,6963421
8.254169225692749e-01,8.619018793106079e-01,1.394845265895128e-02,1.477252990007401e-01,726052,7689473
8.619018793106079e-01,8.983868360519409e-01,1.521976478397846e-02,1.629450619220734e-01,792227,8481700
8.983868360519409e-01,9.348717927932739e-01,1.723252050578594e-02,1.801775842905045e-01,896996,9378696
9.348718523979187e-01,9.713568687438965e-01,1.898511685431004e-02,1.991627067327499e-01,988223,10366919
9.713568687438965e-01,1.007841825485229e+00,7.235316634178162e-01,9.226943850517273e-01,37661642,48028561
1.007841825485229e+00,1.044326782226562e+00,2.582115493714809e-02,9.485155344009399e-01,1344056,49372617
1.044326782226562e+00,1.080811738967896e+00,1.836130395531654e-02,9.668768048286438e-01,955752,50328369
1.080811738967896e+00,1.117296695709229e+00,1.301155239343643e-02,9.798883795738220e-01,677284,51005653
1.117296814918518e+00,1.153781771659851e+00,7.825828157365322e-03,9.877142310142517e-01,407354,51413007
1.153781771659851e+00,1.190266728401184e+00,4.662311170250177e-03,9.923765659332275e-01,242685,51655692
1.190266728401184e+00,1.226751685142517e+00,2.589135430753231e-03,9.949656724929810e-01,134771,51790463
1.226751804351807e+00,1.263236761093140e+00,1.569011714309454e-03,9.965347051620483e-01,81671,51872134
1.263236761093140e+00,1.299721717834473e+00,1.052571693435311e-03,9.975872635841370e-01,54789,51926923
1.299721717834473e+00,1.336206674575806e+00,7.512605516240001e-04,9.983385205268860e-01,39105,51966028
1.336206674575806e+00,1.372691631317139e+00,5.420487723313272e-04,9.988805651664734e-01,28215,51994243
1.372691631317139e+00,1.409176588058472e+00,3.884346515405923e-04,9.992690682411194e-01,20219,52014462
1.409176707267761e+00,1.445661664009094e+00,2.716487506404519e-04,9.995406270027161e-01,14140,52028602
1.445661664009094e+00,1.482146620750427e+00,1.759377191774547e-04,9.997165799140930e-01,9158,52037760
1.482146620750427e+00,1.518631577491760e+00,1.131933822762221e-04,9.998297691345215e-01,5892,52043652
1.518631696701050e+00,1.555116653442383e+00,7.069783896440640e-05,9.999004602432251e-01,3680,52047332
1.555116653442383e+00,1.591601610183716e+00,4.322558015701361e-05,9.999437332153320e-01,2250,52049582
1.591601610183716e+00,1.628086566925049e+00,2.457133996358607e-05,9.999682903289795e-01,1279,52050861
1.628086566925049e+00,1.664571523666382e+00,1.442773827875499e-05,9.999827146530151e-01,751,52051612
1.664571523666382e+00,1.701056480407715e+00,8.164831342583057e-06,9.999908804893494e-01,425,52052037
1.701056599617004e+00,1.737541556358337e+00,4.610728410625597e-06,9.999954700469971e-01,240,52052277
1.737541556358337e+00,1.774026513099670e+00,2.170884727092925e-06,9.999976754188538e-01,113,52052390
1.774026513099670e+00,1.810511469841003e+00,1.152682102656399e-06,9.999987483024597e-01,60,52052450
1.810511589050293e+00,1.846996545791626e+00,5.955524216005870e-07,9.999994039535522e-01,31,52052481
1.846996545791626e+00,1.883481502532959e+00,3.265932662088744e-07,9.999997019767761e-01,17,52052498
1.883481502532959e+00,1.919966459274292e+00,1.921136885130181e-07,9.999999403953552e-01,10,52052508
1.919966459274292e+00,1.956451416015625e+00,7.684547398412178e-08,1.000000000000000e+00,4,52052512
