Min,Max,PDF,CDF,Count,Cumul_Count
9.278254956007004e-02,1.314041912555695e-01,1.536909479682436e-07,1.536909479682436e-07,8,8
1.314041912555695e-01,1.700258404016495e-01,7.876661243244598e-07,9.413570865035581e-07,41,49
1.700258404016495e-01,2.086474895477295e-01,2.478266651451122e-06,3.419623681111261e-06,129,178
2.086474895477295e-01,2.472691386938095e-01,1.427404731657589e-05,1.769367008819245e-05,743,921
2.472691237926483e-01,2.858907580375671e-01,5.194753975956701e-05,6.964120984775946e-05,2704,3625
2.858907878398895e-01,3.245124220848083e-01,1.206089727929793e-04,1.902501826407388e-04,6278,9903
3.245124220848083e-01,3.631340563297272e-01,2.549348573666066e-04,4.451850545592606e-04,13270,23173
3.631340563297272e-01,4.017556905746460e-01,4.211516352370381e-04,8.663366897962987e-04,21922,45095
4.017557203769684e-01,4.403773546218872e-01,6.280965171754360e-04,1.494433148764074e-03,32694,77789
4.403773546218872e-01,4.789989888668060e-01,8.984964806586504e-04,2.392929745838046e-03,46769,124558
4.789990186691284e-01,5.176206827163696e-01,1.212736824527383e-03,3.605666570365429e-03,63126,187684
5.176206231117249e-01,5.562422871589661e-01,1.360856462270021e-03,4.966523032635450e-03,70836,258520
5.562422871589661e-01,5.948639512062073e-01,1.559271477162838e-03,6.525794509798288e-03,81164,339684
5.948639512062073e-01,6.334856152534485e-01,1.893568551167846e-03,8.419362828135490e-03,98565,438249
6.334855556488037e-01,6.721072196960449e-01,2.294490579515696e-03,1.071385387331247e-02,119434,557683
6.721072196960449e-01,7.107288837432861e-01,2.928427420556545e-03,1.364228129386902e-02,152432,710115
7.107288837432861e-01,7.493505477905273e-01,3.901560092344880e-03,1.754384115338326e-02,203086,913201
7.493505477905273e-01,7.879722118377686e-01,4.704499151557684e-03,2.224834077060223e-02,244881,1158082
7.879721522331238e-01,8.265938162803650e-01,6.097957491874695e-03,2.834629826247692e-02,317414,1475496
8.265938162803650e-01,8.652154803276062e-01,7.904383353888988e-03,3.625068068504333e-02,411443,1886939
8.652154803276062e-01,9.038371443748474e-01,1.052112504839897e-02,4.677180573344231e-02,547651,2434590
9.038370847702026e-01,9.424587488174438e-01,1.436683814972639e-02,6.113864481449127e-02,747830,3182420
9.424587488174438e-01,9.810804128646851e-01,2.294811420142651e-02,8.408676087856293e-02,1194507,4376927
9.810804128646851e-01,1.019702076911926e+00,7.717498540878296e-01,8.558366894721985e-01,40171521,44548448
1.019702076911926e+00,1.058323740959167e+00,6.159566342830658e-02,9.174323081970215e-01,3206209,47754657
1.058323740959167e+00,1.096945405006409e+00,3.658102080225945e-02,9.540133476257324e-01,1904134,49658791
1.096945285797119e+00,1.135566949844360e+00,2.150165289640427e-02,9.755150079727173e-01,1119215,50778006
1.135566949844360e+00,1.174188613891602e+00,1.169453654438257e-02,9.872095584869385e-01,608730,51386736
1.174188613891602e+00,1.212810277938843e+00,5.958674941211939e-03,9.931682348251343e-01,310164,51696900
1.212810277938843e+00,1.251431941986084e+00,2.856442471966147e-03,9.960246086120605e-01,148685,51845585
1.251431941986084e+00,1.290053606033325e+00,1.616886467672884e-03,9.976415634155273e-01,84163,51929748
1.290053606033325e+00,1.328675270080566e+00,9.615674498490989e-04,9.986031055450439e-01,50052,51979800
1.328675150871277e+00,1.367296814918518e+00,5.776474135927856e-04,9.991807341575623e-01,30068,52009868
1.367296814918518e+00,1.405918478965759e+00,3.510877722874284e-04,9.995318651199341e-01,18275,52028143
1.405918478965759e+00,1.444540143013000e+00,2.048892492894083e-04,9.997367262840271e-01,10665,52038808
1.444540143013000e+00,1.483161807060242e+00,1.211661001434550e-04,9.998579025268555e-01,6307,52045115
1.483161807060242e+00,1.521783471107483e+00,6.574130384251475e-05,9.999235868453979e-01,3422,52048537
1.521783471107483e+00,1.560405135154724e+00,3.665529220597818e-05,9.999602437019348e-01,1908,52050445
1.560405015945435e+00,1.599026679992676e+00,1.955717380042188e-05,9.999798536300659e-01,1018,52051463
1.599026679992676e+00,1.637648344039917e+00,1.039335074892733e-05,9.999902248382568e-01,541,52052004
1.637648344039917e+00,1.676270008087158e+00,4.783630629390245e-06,9.999949932098389e-01,249,52052253
1.676270008087158e+00,1.714891672134399e+00,2.747225835264544e-06,9.999977946281433e-01,143,52052396
1.714891672134399e+00,1.753513336181641e+00,1.191104843201174e-06,9.999989271163940e-01,62,52052458
1.753513336181641e+00,1.792135000228882e+00,5.763410513281997e-07,9.999995231628418e-01,30,52052488
1.792135000228882e+00,1.830756664276123e+00,2.881705256640998e-07,9.999998211860657e-01,15,52052503
1.830756545066833e+00,1.869378209114075e+00,7.684547398412178e-08,9.999999403953552e-01,4,52052507
1.869378209114075e+00,1.907999873161316e+00,3.842273699206089e-08,9.999999403953552e-01,2,52052509
1.907999873161316e+00,1.946621537208557e+00,3.842273699206089e-08,1.000000000000000e+00,2,52052511
1.946621537208557e+00,1.985243201255798e+00,0.000000000000000e+00,1.000000000000000e+00,0,52052511
1.985243201255798e+00,2.023864746093750e+00,1.921136849603045e-08,1.000000000000000e+00,1,52052512
