 mpi_rank, mpi_size, tot_nelements, tot_nnodes, npoint_struc, clock, elements_second, nodes_second, nodes_struc_second, quadrature_points_second
 0,   1,   20971520,   28292577,   729000000,   19.6136,   1.06924e+06,   1.4425e+06,   3.71682e+07,  5.98772e+07
 0,   2,   20971520,   28292577,   729000000,   11.1587,   1.87939e+06,   2.53548e+06,   6.53303e+07,  1.05246e+08
 0,   3,   20971520,   28292577,   729000000,   7.68371,   2.72935e+06,   3.68215e+06,   9.4876e+07,  1.52843e+08
 0,   4,   20971520,   28292577,   729000000,   5.93069,   3.5361e+06,   4.77054e+06,   1.2292e+08,  1.98022e+08
 0,   5,   20971520,   28292577,   729000000,   5.07837,   4.12958e+06,   5.57119e+06,   1.4355e+08,  2.31256e+08
 0,   6,   20971520,   28292577,   729000000,   4.24253,   4.94316e+06,   6.6688e+06,   1.71831e+08,  2.76817e+08
 0,   7,   20971520,   28292577,   729000000,   3.81721,   5.49393e+06,   7.41184e+06,   1.90977e+08,  3.0766e+08
 0,   8,   20971520,   28292577,   729000000,   3.32961,   6.29849e+06,   8.49726e+06,   2.18945e+08,  3.52716e+08
 0,   9,   20971520,   28292577,   729000000,   3.07906,   6.81102e+06,   9.18871e+06,   2.36761e+08,  3.81417e+08
 0,   10,   20971520,   28292577,   729000000,   2.85313,   7.35036e+06,   9.91633e+06,   2.55509e+08,  4.1162e+08
 0,   11,   20971520,   28292577,   729000000,   2.7039,   7.75602e+06,   1.04636e+07,   2.6961e+08,  4.34337e+08
 0,   12,   20971520,   28292577,   729000000,   2.36468,   8.86867e+06,   1.19647e+07,   3.08288e+08,  4.96645e+08
 0,   13,   20971520,   28292577,   729000000,   2.24087,   9.35866e+06,   1.26257e+07,   3.25321e+08,  5.24085e+08
 0,   14,   20971520,   28292577,   729000000,   2.13367,   9.82887e+06,   1.32601e+07,   3.41666e+08,  5.50417e+08
 0,   15,   20971520,   28292577,   729000000,   2.0448,   1.0256e+07,   1.38363e+07,   3.56513e+08,  5.74336e+08
 0,   16,   20971520,   28292577,   729000000,   1.9336,   1.08459e+07,   1.46321e+07,   3.77017e+08,  6.07368e+08
 0,   17,   20971520,   28292577,   729000000,   1.84735,   1.13522e+07,   1.53152e+07,   3.94619e+08,  6.35724e+08
 0,   18,   20971520,   28292577,   729000000,   2.40204,   8.73071e+06,   1.17786e+07,   3.03492e+08,  4.8892e+08
