 mpi_rank, mpi_size, tot_nelements, tot_nnodes, npoint_struc, clock, elements_second, nodes_second, nodes_struc_second, quadrature_points_second
 0,   1,   20971520,   3578097,   729000000,   4.75857,   4.4071e+06,   751926,   1.53197e+08,  2.46798e+08
 0,   2,   20971520,   3578097,   729000000,   2.44914,   8.56281e+06,   1.46096e+06,   2.97655e+08,  4.79517e+08
 0,   3,   20971520,   3578097,   729000000,   1.69779,   1.23523e+07,   2.10751e+06,   4.29383e+08,  6.91727e+08
 0,   4,   20971520,   3578097,   729000000,   1.33559,   1.57021e+07,   2.67905e+06,   5.45828e+08,  8.79318e+08
 0,   5,   20971520,   3578097,   729000000,   1.0685,   1.96271e+07,   3.34872e+06,   6.82267e+08,  1.09912e+09
 0,   6,   20971520,   3578097,   729000000,   0.949331,   2.20908e+07,   3.76907e+06,   7.67909e+08,  1.23709e+09
 0,   7,   20971520,   3578097,   729000000,   0.917826,   2.28491e+07,   3.89845e+06,   7.94268e+08,  1.27955e+09
 0,   8,   20971520,   3578097,   729000000,   0.7936,   2.64258e+07,   4.50869e+06,   9.18599e+08,  1.47984e+09
 0,   9,   20971520,   3578097,   729000000,   0.724773,   2.89353e+07,   4.93685e+06,   1.00583e+09,  1.62038e+09
 0,   10,   20971520,   3578097,   729000000,   0.686375,   3.0554e+07,   5.21303e+06,   1.0621e+09,  1.71102e+09
 0,   11,   20971520,   3578097,   729000000,   0.646946,   3.24162e+07,   5.53075e+06,   1.12683e+09,  1.8153e+09
 0,   12,   20971520,   3578097,   729000000,   0.607726,   3.45082e+07,   5.88768e+06,   1.19955e+09,  1.93246e+09
 0,   13,   20971520,   3578097,   729000000,   0.576664,   3.6367e+07,   6.20483e+06,   1.26417e+09,  2.03655e+09
 0,   14,   20971520,   3578097,   729000000,   0.5514,   3.80332e+07,   6.48911e+06,   1.32209e+09,  2.12986e+09
 0,   15,   20971520,   3578097,   729000000,   0.525689,   3.98934e+07,   6.80649e+06,   1.38675e+09,  2.23403e+09
 0,   16,   20971520,   3578097,   729000000,   0.498338,   4.20829e+07,   7.18006e+06,   1.46286e+09,  2.35664e+09
 0,   17,   20971520,   3578097,   729000000,   0.48064,   4.36325e+07,   7.44444e+06,   1.51673e+09,  2.44342e+09
 0,   18,   20971520,   3578097,   729000000,   0.474872,   4.41625e+07,   7.53486e+06,   1.53515e+09,  2.4731e+09
